61, 1, 71, 0, 1
86, 47, 52, 0, 1
130, 55, 54, 1, 1
218, 21, 32, 0, 0
262, 9, 57, 0, 1
292, 36, 147, 0, 1
306, 169, 15, 1, 0
327, 163, 114, 1, 1
708, 1, 15, 0, 0
755, 1, 69, 0, 0
776, 49, 46, 0, 1
899, 1, 38, 0, 1
899, 36, 32, 1, 0
899, 52, 22, 2, 1
934, 39, 1, 2, 0
950, 24, 65, 2, 1
986, 53, 26, 0, 1
1044, 21, 28, 0, 0
1098, 1, 2, 0, 1
1139, 1, 52, 0, 1
1147, 45, 128, 0, 1
1151, 90, 31, 1, 1
1207, 83, 42, 1, 1
1240, 92, 100, 2, 1
1289, 143, 25, 2, 0
1419, 38, 60, 1, 1
1447, 70, 85, 1, 1
1492, 60, 68, 1, 0
1539, 69, 170, 1, 0
1551, 99, 84, 2, 1
1607, 171, 1, 2, 1
1649, 130, 7, 2, 0
1777, 9, 39, 1, 1
1782, 26, 202, 1, 1
1805, 24, 48, 1, 0
1807, 70, 60, 2, 1
1828, 109, 34, 2, 0
1843, 128, 23, 2, 1
1863, 131, 182, 3, 1
1924, 91, 21, 3, 0
1933, 139, 17, 4, 0
2014, 78, 17, 2, 1
2071, 38, 290, 2, 1
2091, 85, 67, 2, 1
2093, 150, 28, 2, 1
2105, 166, 56, 3, 1
2168, 159, 21, 3, 1
2188, 211, 48, 3, 1
2205, 242, 83, 4, 1
